question,semantic_similarity,answer,ground_truth,contexts
Ποιος είναι ο σκοπός της Φ.Ε. τον Ιούλιο;,0.9826483130455017,"χρησιμοποιείται για τη στέγαση φοιτητών/φοιτητριών που εργάζονται στο Πανεπιστήμιο Κύπρου, ή/και είναι εγγεγραμμένοι στο Θερινό Εξάμηνο, ή/και έχουν ακαδημαϊκές υποχρεώσεις προς το Πανεπιστήμιο.","Η Φ.Ε. χρησιμοποιείται για τη στέγαση φοιτητών/φοιτητριών που εργάζονται στο Πανεπιστήμιο Κύπρου, ή/και είναι εγγεγραμμένοι στο Θερινό Εξάμηνο, ή/και έχουν ακαδημαϊκές υποχρεώσεις προς το Πανεπιστήμιο.","κατά τη θερινή περίοδο](#tab-6815302a216e2-3) * [Έντυπα και κανόνες](#tab-6815302a216e2-4) Κατά τη διάρκεια του καλοκαιριού (Ιούνιο - Ιούλιο) η Φ.Ε.\n---\n- Ιούλιο) η Φ.Ε. χρησιμοποιείται για τη στέγαση φοιτητών/φοιτητριών που εργάζονται στο Πανεπιστήμιο Κύπρου, ή/και είναι εγγεγραμμένοι στο Θερινό Εξάμηνο, ή/και έχουν ακαδημαϊκές υποχρεώσεις προς το Πανεπιστήμιο.\n---\n# Θερινή διαμονή * [Παράταση διαμονής φοιτητριών/φοιτητών κατά τη θερινή περίοδο](#tab-6815302a216e2-1) * [Θερινό σχολείο για μαθητές μέσης εκπαίδευσης](#tab-6815302a216e2-2) * [Διαμονή συνέδρων και επισκεπτών κατά τη θερινή\n---\nκαι να συνεισφέρει στην κοινότητα του. Πρωταρχικός στόχος του Κέντρου Ψυχικής Υγείας (ΚΕ.Ψ.Υ.)\n---\n), κατά την εβδομάδα συμμετοχής τους στο Θερινό Σχολείο. Προτεραιότητα για διαμονή στις Φ.Ε, δίνεται σε όσους μαθητές διαμένουν εκτός της Επαρχίας Λευκωσίας."
Πού μπορείτε να ψάξετε για διαμονή εάν τα μαθήματα σας δεν είναι στη Πανεπιστημιούπολη;,0.9784687757492065,σε περιοχές μακρύτερα από το Γέρι και την Αγλαντζιά,Σε περιοχές μακρύτερα από το Γέρι και την Αγλαντζιά.,"**Γενικές Συμβουλές:** - Εάν τα μαθήματα σας δεν είναι στη Πανεπιστημιούπολη, μπορείτε να ψάξετε για διαμονή και σε περιοχές μακρύτερα από το Γέρι και την Αγλαντζιά.\n---\nσύμφωνα με την απόσταση των χώρων διαμονής από τα κτίρια που έχετε μαθήματα, αλλά και την οικονομική σας άνεση.\n---\n- Πού πραγματοποιούνται τα περισσότερα σας μαθήματα; - Ποια είναι η οικονομική σας κατάσταση; Ανάλογα με τα πιο πάνω μπορείτε να κρίνετε ποια περιοχή σας βολεύει περισσότερο για ενοικίαση χώρου διαμονής,\n---\nΕίμαστε εδώ για να σας βοηθήσουμε όσο το δυνατό μπορούμε για να βρείτε το δικό σας χώρο διαμονής! **Αρχικά κάνετε στον εαυτό σας τις εξής ερωτήσεις** - Σε ποιο Τμήμα ανήκετε;\n---\nΤο ίδιο ισχύει και στην περίπτωση που δεν έχετε μαθήματα στην Πανεπιστημιούπολη μέχρι αργά το βράδυ."
What department is responsible for issuing a visa/entry permit to non-EU students studying at the University of Cyprus?,1.0,The Civil and Migration Department of the Republic of Cyprus.,The Civil and Migration Department of the Republic of Cyprus.,"The period of application its on April for each academic year. **Visa/Entry Permit for Non-EU students** For all non-EU candidates, who will study at the University of Cyprus, a visa/entry permit to the Republic of Cyprus is required. The visa/entry permit is issued by the Civil and Migration Department of the Republic of Cyprus. For Visa/Entry Permit Regulations please visit the [International Support Office](https://www.ucy.ac.cy/internationalsupport/) **EU NATIONALS – ISSUANCE OR RENEWAL OF TEMPORARY RESIDENCE PERMIT** Students with European passport must contact the Civil Registry and Migration Department of the Republic of Cyprus for the issuance or renewal of Temporary Residence Permit in Cyprus. All nationals of an E.U.\n---\nYou shall submit the application for renewing your residence permit at least one (1) month before the expiry of the residence permit you are holding. **Can the University help me speed up my Residence Permit card application?** The International Students and Staff Support Office is always in communication with the Migration Department and ready to provide assistance to all International Students and Staff, so as to minimize the processes and address any obstacles that may arise. However, the Migration Department is a governmental department and its procedures are independent from the University of Cyprus. **Family Reunification:** **I am a Researcher. Can I bring my spouse with me in Cyprus?** Non-EU Researchers are able to bring their family in Cyprus with them. Their spouse must grant a tourist visa from the Cyprus Embassy/General Consulate in their respective country so they will be allowed to enter Cyprus.\n---\nEach student receives planning and academic advice from his/her Academic Advisor. ***REQUIREMENTS FOR NON-EU STUDENTS*** ➢ Being graduates of a Secondary School, recognized by the appropriate education authority of their country ➢ Certificate of good knowledge of Greek language ➢ Certificate of citizenship ➢ Copy of identity card or passport ➢ All candidates must meet the grade requirements that are defined by the UCY Departments ***VISA/ENTRY PERMIT*** For all non- EU candidates, who will study at the University of Cyprus, a visa/ entry permit to the Republic of Cyprus is required. The visa / entry permit is issued by the Civil and Migration Department of the Republic of Cyprus. ***TEMPORARY RESIDENTS’ PERMIT*** Foreign students are needed to acquire a student visa for entry to Cyprus or to renew a temporary resident’s permit in the Republic of Cyprus.\n---\nOnce they enter Cyprus they must submit their papers to the Migration Department for their residence permit visa as a Researcher’s dependants. **I am a student. Can I bring my spouse with me in Cyprus?** Unfortunately, no. According to Cyprus legislation, you cannot bring your spouse on a dependent visa if you are a student. Cyprus doesn’t allow the dependent visa for International Students. **How can I invite a third country national to Cyprus?** When a third country national is invited in Cyprus for tourist reasons, the assumption for responsibility of hosting form is completed and submitted along with a bank guarantee and a copy of the foreigner’s passport. **Asylum Seekers and Refugees:** **What is an Asylum seeker? Can they study at the University of Cyprus?\n---\nFor the documents required for the issuance of visas as well as for further information please consult the Office's [website](https://www.ucy.ac.cy/internationalsupport/) or email: [[email protected]](/cdn-cgi/l/email-protection) 24**I am from a European Union country, do I need to obtain a visa to enter the Republic of Cyprus?** EU citizens do not need a visa to enter Cyprus. Within 3 months (90 days), from their arrival in Cyprus, they will have to apply for a residence permit in Cyprus. Information on the website of the International Students and Staff Office [here.](https://www.ucy.ac.cy/internationalsupport/residence-permit/)"
What is the minimum average score required for I.E.L.T.S. to prove proficiency in English?,0.9582046866416931,6.5,6.5.,"I.E.L.T.S. minimum average score 6.5. 4. T.O.E.F.L. with a minimum score of 550 (Paper-based) or T.O.E.F.L. with a minimum score 213 (Computer-based) or T.O.E.F.L. (Internet based) with a minimum score 92. 5. Cambridge English First (FCE), with a minimum score 176. 6. Cambridge English Advanced (CAE), with a minimum score 176. 7. Cambridge English Proficiency (CPE), with a minimum score 176. 8. Certificate of Proficiency in English (ECPE), with a minimum score 650. 9. Anglia Examinations – Proficiency (C1). 10. IB diploma (International Baccalaureate). 11.\n---\nor U.S. academic institution, for instance). In addition to the requirements described in the relevant Admission and Attendance Regulations, candidates for the graduate studies programme whose first language is not English are required το provide proof of proficiency in English in one of the following ways: 1. G.C.E. O-Level English with a minimum grade “C”. 2. I.G.C.S.E. English with a minimum grade “C”. 3. I.E.L.T.S. minimum average score 6.5. 4. T.O.E.F.L. with a minimum score of 550 (Paper-based) or T.O.E.F.L. with a minimum score 213 (Computer-based) or T.O.E.F.L. (Internet based) with a minimum score 92. 5. Cambridge English First (FCE), with a minimum score 176. 6.\n---\nCambridge English First (FCE), with a minimum score 176. 6. Cambridge English Advanced (CAE), with a minimum score 176. 7. Cambridge English Proficiency (CPE), with a minimum score 176. 8. Certificate of Proficiency in English (ECPE), with a minimum score 650. 9. Anglia Examinations – Proficiency (C1). 10. IB diploma (International Baccalaureate). 11. Certificate of success in the exams conducted by the Ministry of Education and Culture. 12. Certificate of success in year 6th final exams, of the Cyprus State Institutes of Further Education. 13. Any other equivalent exam that will prove proficiency in English language. 14. Candidates who hold a degree from a recognized university programme taught in English are considered to have proficiency in English.\n---\n--- **Required Levels of English language proficiency for studies in Postgraduate Programmes:** --- In accordance with the Cyprus Agency of Quality Assurance and Accreditation in Higher Education (CYQAA), for admission to programmes of study taught in the English language at postgraduate levels at universities, candidate students should provide a certificate of their knowledge of English. For programs of study at the postgraduate level candidate students are required to have certification for “Very Good Knowledge” of English at level B2-C1 of the Common European Framework of Reference for Languages (CEFR). At this level, the users can understand a wide range of demanding, long and complex texts, and recognize implied meanings. The users can express themselves fluently and spontaneously without much obvious searching for expressions. They can use the language flexibly and effectively for social, academic, and professional purposes.\n---\nLiterature, Pedagogy* ENG 704 Critical Pedagogy and Shakespeare ENG 740 Language Teaching and Learning ENG 743 Principles of Linguistic Analysis I ENG 748 Principles of Linguistic Analysis II ENG 749 First and Second Language Acquisition ENG 760 Philosophy of Language ENG 761 Pragmatics: Utterance, Context, Communication **Assessment** Each taught course is evaluated through continuous assessment which may include a midterm exam, a final exam, a research paper and various others assignments. Students are also required to write an MA thesis on some aspect of English Studies. The expected word length of the Master Thesis in English Studies, which takes 30 ECTS, is between 12,000-15,000 words."
"What is the tuition fee for the Business Economics (Technology, Innovation Management and Entrepreneurship) programme?",1.0000001192092896,€10.000,€10.000,"17**How much are the fees for attending a Master's programme?** The total tuition fees for a Master's programme are **€5.125** with some exceptions as follows: - MSc in Intelligent Critical Infrastructure Systems): **€6.500** - MSc in Human Resource Management): **€7.500** - MEng in Natural Gas in Energy Transition): **€8.000** - Technology, Innovation Management and Entrepreneurship - Master in Business Economics - TIME MBE): **€10.000** - Master in Business Administration (MBA): **€10.250** 18**How much is the tuition fee for a PhD programme?** Tuition fees for a PhD programme at the University of Cyprus vary depending on whether the student holds a Master's degree or not. If you hold a Master's degree, the total tuition fees for a PhD programme are **€4.000.\n---\n): **€8.000** * Business Economics (Technology, Innovation Management and Entrepreneurship) - (TIME MBE): **€10.000** * Human Resource Management (MScHRM): **€7.500** * Intelligent Critical Infrastructure Systems (MSc): **€6.500** * School Counseling and Guidance (MA): **€5.125.** * Gender Studies (MA): **€5.125.** * Financial Analysis (MSc): **€15.000.** Clarifications (Conventional Programmes) * Students are required to prepay the amount of € 500 upon acceptance of the position. The deposit is non-refundable in case of student's withdrawal from the University of Cyprus. * A student who has not completed the master's thesis in the regular period, must enroll in the continuation of the master's thesis. Registration in the continuation of the master's thesis is not charged with additional tuition.\n---\n**Tuition Fees** For Cypriots and other EU students tuition fees are €3,417 (Euro) per academic year and they are paid by the Republic of Cyprus. For non-European students tuition fees are €6,834 (Euro) per academic Year. **Payment of Fees** Fees must be paid to the Accounts Office of the University or a Bank prior to registration, and the receipt must be presented upon registration. Fees may be paid into the following bank account: Bank: Bank of Cyprus Account No: 0128-05-023773 or 116-31-009468 Reference: Please give details of payment **Students outside the E.U.\n---\n# Fees Tuition fees for conventional programmes The amount of **tuition fees** for attending **conventional Master programmes** at the University of Cyprus is **€ 5,125.** To the tuition fees of the postgraduate programme of **School Psychology** of the Department of Psychology, is added a fee of supervised clinical practice of **€ 1,000** for the hiring of supervision services by registered professional psychologists. Tuition Fees for self-funded Master degree programmes **Tuition Fees for self-funded Master degree programmes** * Business Administration (MBA): **€10.250** * Natural Gas in Energy Transition (M.Eng.\n---\nAll courses are required. The program consists of three different components: 1. The Academic Modules (September – May, 60 ECTS) 2. The Summer Practicum (May – July, 15 ECTS) A Supervised Summer Internship 3. The Master Thesis (May – December, 30 ECTS) | | | | --- | --- | | **Semester 1** | | | **Code/Course** | **ECTS** | | [MBE5101 Business Economics](https://www.ucy.ac.cy/econ/wp-content/uploads/sites/48/2023/07/MBE5101.pdf) | 4.0 | | [MBE5102 Economics of Innovation and R&D Spending](https://www.ucy.ac.cy/econ/wp-content/uploads/sites/48/2023/07/MBE5102.pdf) | 4."
By what semester must Ph.D. students successfully pass a comprehensive examination at the latest?,0.9558243155479431,Seventh semester,The seventh semester of studies.,"* The departments must offer comprehensive exams at least once a year so that students have the opportunity to take the exams at least twice before their seventh semester. * The comprehensive examination is graded with either Success or Failure. * Incomplete mark is not given to comprehensive examination. PhD Thesis Proposal * The award of a doctoral degree presupposes the successful presentation of the doctoral dissertation proposal before a three-member Committee. The presentation of the proposal takes place up to four semesters after the success in the comprehensive examination. This deadline may be amended with the approval of the Chairperson of the department, provided that the maximum duration of completion of the doctoral programme is not violated. The Dean of the Graduate School is informed. The three-member Committee is appointed by the Board of the Department upon the recommendation of the Postgraduate Programs Committee of the Department and the research advisor of the student, who chairs the Committee.\n---\n* Presentation of proposal for Doctoral Dissertation. The presentation of the proposal takes place up to four semesters after the success in the comprehensive examination. This deadline may be amended with the approval of the Chairperson of the department, provided that the maximum duration of completion of the doctoral programme is not violated. The Dean of the Graduate School is informed. * Defence of a dissertation. Comprehensive Examination * The nature and assessment of the comprehensive examination are determined by the relevant department. * Ph.D. students are required to successfully pass a comprehensive examination by the seventh semester of studies at the latest. * The relevant Postgraduate Programmes Committee is responsible for coordination of the comprehensive examination. * The general content of the comprehensive examination and the material required for the examination are defined by the Postgraduate Programmes Committee. * For oral examinations the Examining Committee must be composed of more than one examiner and full notes must be taken.\n---\n# Requirements for Phd degree Requirements for Ph.D. Degree * Class attendance for a minimum of six semesters. The Ph.D. requirements must be fulfilled within the period of sixteen semesters from the day of admission to the postgraduate programme. * Successful completion of a minimum of 240 ECTS (completion of 60 ECTS at the postgraduate level, in accordance with the provisions of the relevant programme of studies of the department (holders of a Master or equivalent degree may be partially or fully exempted from this requirement). The research part of the programme counts as 120 ECTS and the remaining ECTS refer to the comprehensive examination, the presentation of the dissertation proposal, the writing of the dissertation, etc.). * Success in a comprehensive examination by the seventh semester of studies at the latest. The nature and assessment of the comprehensive examination are determined by the relevant department. * Presentation of proposal for Doctoral Dissertation.\n---\n14**What are the requirements for a PhD degree?** The requirements for the award of a PhD degree are: - Attendance of at least six (6) semesters - the maximum duration of attendance is sixteen (16) semesters. The period of suspension or temporary interruption of study or maternity or paternity leave is not included in the sixteen (16) semester period. - Successful completion of 240 ECTS according to the curriculum. Specifically, 60 ECTS in postgraduate courses are required (the possession of a Master's degree or other equivalent qualification partially or fully exempts the student from this requirement), 120 ECTS for the pure research part of the programme and the remaining ECTS are for the comprehensive examination, the preparation and presentation of the research proposal, the writing of the doctoral thesis, etc. - Preparation and support of an original dissertation that represents a significant contribution to the relevant subject area.\n---\n- Preparation and support of an original dissertation that represents a significant contribution to the relevant subject area. - Success in a comprehensive examination up to the seventh semester of study. - Presentation of a proposal for a doctoral thesis to a three-member committee. The proposal is presented up to four semesters after success in the comprehensive examination. 15**What is the minimum and maximum duration of a Master's programme?** The minimum duration of a Master's programme is three (3) semesters and the maximum duration is eight (8) semesters. 16**What is the minimum and maximum duration of study in a PhD programme?** The minimum duration of a PhD programme is six (6) semesters and the maximum duration is sixteen (16) semesters. 17**How much are the fees for attending a Master's programme?"
What are the four categories of courses that each student must successfully attend for the Master of Science degree (M.Sc.) in Construction and Transport Infrastructure Management?,0.8058432936668396,"Α, Β, C, D","The four categories of courses are Α (Basic specialization graduate courses), Β (Elective specialization graduate courses), C (CEE graduate courses other than those in categories A and B), and D (UCY graduate courses).","Construction and Transport Infrastructure Management More specifically, for the Master of Science degree (M.Sc.) courses are grouped in four categories of courses, from which each student must successfully attend a specific number of courses in order to fulfil the requirements of the specialty thrust selected, as follows: | | | | --- | --- | | **Categories** | **Description** | | Α | Basic specialization graduate courses | | Β | Elective specialization graduate courses | | C | CEE graduate courses other than those in categories A and B | | D | UCY graduate courses | For the Master of Science degree (M.Sc.) in Civil Engineering, for each of the five thrusts, a number of successfully completed courses is required, as follows: | | | | | | | --- | --- | --- | --- | --- | | **Courses:** | **A** | **B** | **C** | **D** | | M.Eng.\n---\nConstruction and Transport Infrastructure Management More specifically, for the Master of Engineering degree (M.Eng.) courses are grouped in four categories of courses, from which each student must successfully attend a specific number of courses in order to fulfil the requirements of the specialty thrust selected, as follows: | | | | --- | --- | | **Categories** | **Description** | | Α | Basic specialization graduate courses | | Β | Elective specialization graduate courses | | C | CEE graduate courses other than those in categories A and B | | D | UCY graduate courses | For the Master of Engineering degree (M.Eng.) in Civil Engineering, for each of the five thrusts, a number of successfully completed courses is required, as follows: | | | | | | | --- | --- | --- | --- | --- | | C**ourses:** | **A** | **B** | **C** | **D** | | M.Eng.\n---\n# Master (MSc) in Civil Engineering ### **Master (MSc) in Civil Engineering** ![](https://www.ucy.ac.cy/cee/wp-content/uploads/sites/42/2025/02/pic9-scaled.jpg) #### **Profile of Programme** The Master of Science (M.Sc.) in Civil Engineering is offered in four specializations as listed below; to specialize in any of these areas the graduate must fulfil certain course and research work requirements: 1. Structural Analysis and Earthquake Engineering 2. Novel and Traditional Construction Materials 3. Geotechnical Engineering 4. Construction and Transport Infrastructure Management More specifically, for the Master of Science degree (M.Sc.)\n---\n[Geotechnical Engineering (MSc)](#) 4. [Construction and Transport Infrastructure Management (ΜSc)](#) #### **Conditions of Study** Specific Admission Requirements The number of places available are announced by the Graduate School with the eligibility criteria for candidates, as well as other required documents that must be attached to the application such as: - Bachelor’s degree from a recognised University. - Previous University education in a suitable subject (academic background) and grades of relevant degrees. - Letters of recommendation. - Personal interview and/or written examination (if provided by the Department’s internal rules). The Department may also set additional criteria and quality indicators such as: (a) number of students’ publications in scientific journals, (b) students’ participation in seminars, symposia, research programmes, (c) presentations by students at conferences, (d) knowledge of foreign languages, and (e) professional experience, etc.\n---\n| ≥5 | ≤5 | ≤1 | ≤1 | | M.Sc. | ≥ 4 | ≤3 | ≤1 | | Therefore, completion of a Master of Science in Civil Engineering, which is more research-oriented and requires only 7 successfully completed graduate courses, at least 4 graduate courses are required from group A, up to 3 graduate courses are allowed from group B and up to 1 graduate course is required either from group C or D. For example, a student could select 5 graduate courses from group A and 2 courses from group B, or 4 courses from group A, 2 courses from group B and 1 course either from group C or D."
What are the aims of the MA Design for Social Innovation programme?,0.9612752795219421,"* Provide academic and practice-based knowledge in design, social innovation, and entrepreneurship 
* Develop creativity and innovation skills in the domain of Design and Social Innovation
* Produce graduates ready to effectively enact real social change, lead multi-disciplinary teams and collaborate in the design and development of successful social innovation enterprises and activities
* Support the development of new kinds of social innovation practitioners, the producers of social innovations as championed by the UN, through providing key design and leadership skills.","The MA Design for Social Innovation aims to: Provide academic and practice-based knowledge in design, social innovation, and entrepreneurship bridging together theoretical and practical knowledge and experience; Develop creativity and innovation skills in the domain of Design and Social Innovation; Produce graduates ready to effectively enact real social change, lead multi-disciplinary teams and collaborate in the design and development of successful social innovation enterprises and activities; Support the development of new kinds of social innovation practitioners, the producers of social innovations as championed by the UN, through providing key design and leadership skills.","They can have a positive impact on their surroundings, influence the future, understand others’ intentions, actions and feelings, and anticipate the short and long-term consequences of what they do.”** ###### **Organisation for Economic Co-operation and Development,** **The Future of Education and Skills 2030, 2018** #### Programme Aims **The MA Design for Social Innovation aims to:** * Provide academic and practice-based knowledge in design, social innovation, and entrepreneurship bridging together theoretical and practical knowledge and experience; * Develop creativity and innovation skills in the domain of Design and Social Innovation; * Produce graduates ready to effectively enact real social change, lead multi-disciplinary teams and collaborate in the design and development of successful social innovation enterprises and activities. * Support the development of new kinds of social innovation practitioners, the producers of social innovations as championed by the UN, through providing key design and leadership skills.\n---\n#### Our Graduates #### **MA Design for Social Innovation graduates will be able to:** * Frame design and social innovation in the broad picture of the networked societies and the European Digital Agenda, making the social, cultural and ethical implications of social innovation tangible, and therefore debatable; * Build conscious reflective and reflexive practices that frame individual worldviews and approaches to research and design; * Apply high quality criteria for academic social innovation design research and consider their practical applications within the society; * Develop research questions, approaches and methods for understanding, analysing and communicating design and design outcomes as socially innovative activity; * Critically evaluate the difference between models, theories, and practices of design while engaging with practice-based social innovation projects; * Develop digital artefacts and know how to explore the aesthetic and functional potential of design as social innovation through research and experimentation; ###### Offered by !\n---\n# MA Design for Social Innovation **DISTANCE LEARNING | PART-TIME OR FULL-TIME | 3-6 SEMESTERS | JOINTLY OFFERED FROM TWO UNIVERSITIES** [Contact us](https://dsi.education/contact-us/) [Apply](https://applications.ucy.ac.cy/postgraduate_appl/MNG_USERS.login_frm) ## Are you passionate about using design to create positive social change? Our new MA in Design for Social Innovation is a unique program that combines design thinking with social entrepreneurship to empower you to develop innovative solutions to some of the world's most pressing challenges. Join us and learn how to use design to drive positive impact in your community and beyond. The MA in Design for Social Innovation brings together experts from design, social innovation, and entrepreneurship and a global cohort of learners.\n---\n### Jointly offered by two universities The MA in Design for Social Innovation is offered by two Universities and academics from three departments providing students with the opportunity to benefit from the expertise and resources of both institutions, leading to a more diverse and well-rounded education. ### Designed to run online Distance learning allows students to access educational opportunities from anywhere in the world, providing them with the flexibility to balance their studies with other commitments, such as work or family responsibilities. ### Available full & part-time Flexible full-time or part-time study modes provide students with the ability to tailor their education to their individual needs and schedules. This allows them to balance their studies with other commitments, such as work or family responsibilities, and to pursue their education at a pace that is comfortable for them.\n---\n#### III. Compulsory – Dissertation (30 ECTS) SPS 632 Master's Thesis (30 ECTS) Students are offered the opportunity to submit either a 15,000-word thesis in a written format or utilize the in-house experience and modern facilities of the home department to produce a visual dissertation in the form of a short documentary with a supplementary 5,000-word research paper. To enroll in the MA Thesis, students should have finished all the compulsory courses and a substantial number, ideally all, of their elective courses. Please note that elective courses on offer each academic year may vary. --- #### **Admission Requirements** ##### Academic Requirements The program will consider applicants with an academic background/degree in Social Sciences, Arts or Humanities or any other associated field. * + International graduates should normally have the equivalent grade level (e.g. UK university graduates should normally have a second-class honors degree (55+))."
Ποια είναι η προϋπόθεση για την αίτηση διαμονής στη Φοιτητική Εστία;,1.0,Να έχει υποβάλει την αίτηση διαμονής στη Φοιτητική Εστία μαζί με όλα τα απαιτούμενα πιστοποιητικά εντός των καθορισμένων προθεσμιών υποβολής αιτήσεων.,Να έχει υποβάλει την αίτηση διαμονής στη Φοιτητική Εστία μαζί με όλα τα απαιτούμενα πιστοποιητικά εντός των καθορισμένων προθεσμιών υποβολής αιτήσεων.,"θα πρέπει να ικανοποιεί τις εξής προϋποθέσεις:- Να έχει υποβάλει την αίτηση διαμονής στη Φοιτητική Εστία μαζί με όλα τα απαιτούμενα πιστοποιητικά εντός των καθορισμένων προθεσμιών υποβολής αιτήσεων.\n---\n**Προϋποθέσεις και κριτήρια επιλογής ενοίκων** Για να συμπεριληφθεί κάποια/ος φοιτήτρια/φοιτητής στη διαδικασία επιλογής ενοίκων στη Φοιτητική Εστία,\n---\nΔικαίωμα υποβολής αίτησης για συμμετοχή στο πρόγραμμα έχουν όσοι φοιτητές πληρούν τις παρακάτω προϋποθέσεις:- Πληρούν τις προϋποθέσεις επιλογής για διαμονή στη Φοιτητική Εστία.\n---\n- Στη βάση ημερομηνίας παραλαβής αιτήσεων (first come, first serve). **Υποβολή αίτησης** Η υποβολή αίτησης για διαμονής στη Φοιτητική Εστία γίνεται μόνο ηλεκτρονικά σε σχετικό σύνδεσμο που ανακοινώνεται σε εύθετο χρόνο.\n---\nΟι ενδιαφερόμενοι πρέπει επίσης να υποβάλουν συμπληρωμένη την αίτηση διαμονής στη Φοιτητική Εστία. Νοείται ότι για να επιλεγεί τελικά κάποιος ως Β.Φ.Ε, πρέπει να εξασφαλίζει δωμάτιο στη Φοιτητική Εστία."
Ποιος είναι ο potenzialικός χρήστης του περιεχομένου της βιντεοπλατφόρμας;,0.9638162851333618,"Χρήστες εκτός Πανεπιστημίου Κύπρου κατ’ επιλογή, ερευνητικό, διοικητικό προσωπικό, εκπαιδευτικό προσωπικό και εγγεγραμμένοι φοιτητές.",Χρήστες εκτός Πανεπιστημίου Κύπρου κατ’ επιλογή.,"Το περιεχόμενο της βιντεοπλατφόρμας δύναται να είναι διαθέσιμο και σε χρήστες εκτός Πανεπιστημίου Κύπρου κατ’ επιλογή.\n---\nΕπίσης σε άλλο προσωπικό (ερευνητικό, διοικητικό κ.ά.) που επιθυμεί να αξιοποιήσει τις δυνατότητες του εργαλείου.\n---\nPanopto Educational Video Platform **DESCRIPTION** Το Panopto είναι μια εκπαιδευτική βιντεοπλατφόρμα που επιτρέπει τη δημιουργία, διαχείριση και διαμοιρασμό εκπαιδευτικού οπτικοακουστικού υλικού με σύγχρονο και ασύγχρονο τρόπο.\n---\nΈχετε επίσης τη δυνατότητα να συνδεθείτε και απευθείας στη βιντεοπλατφόρμα (εκτός του συστήματος Blackboard) εδώ με τον λογαριασμό ηλεκτρονικού ταχυδρομείου σας,\n---\n**ΑΠΟΔΕΚΤΕΣ** Το Panopto απευθύνεται κυρίως στο εκπαιδευτικό προσωπικό του Πανεπιστημίου Κύπρου για τη δημιουργία και διαμοιρασμό εκπαιδευτικού οπτικοακουστικού υλικού και σε όλους τους εγγεγραμμένους φοιτητές."
Πώς μπορείτε να λάβετε περισσότερες πληροφορίες;,0.955304741859436,να επικοινωνήσετε με το Κέντρο,να επικοινωνήσετε με το Κέντρο για περισσότερες πληροφορίες.,"Σχετικές Πληροφορίες μπορείτε να βρείτε στον ακόλουθο σύνδεσμο: <https://www.gesy.org.\n---\nγια διεύρυνση των γνώσεων τους ή και εμβάθυνση σε τομείς που τους ενδιαφέρουν.\n---\n), ή να [επικοινωνήσετε με το Κέντρο](/cdn-cgi/l/email-protection#e8858d869c8984808d89849c80a89d8b91c6898bc68b91) για περισσότερες πληροφορίες ή για να διευθετήσετε συνάντηση. Καλή Πλοήγηση! [!\n---\nβελτιώνοντας τη μόνωση, προσθέτοντας εξαερισμό ή παρέχοντάς σας αφυγραντήρα).\n---\n- Πού πραγματοποιούνται τα περισσότερα σας μαθήματα; - Ποια είναι η οικονομική σας κατάσταση; Ανάλογα με τα πιο πάνω μπορείτε να κρίνετε ποια περιοχή σας βολεύει περισσότερο για ενοικίαση χώρου διαμονής,"
